Título,Descripción,Categoría,Latitud,Longitud,Fecha del hecho
Preocupación por Colapso en red de distribución en Chajarí,"Grave colapso en red de distribución ocurrió en las inmediaciones de Chajarí, Entre Ríos. El incidente destruyendo viviendas y dejando a familias evacuadas. El gobierno provincial ha enviado ayuda humanitaria a los damnificados.",Colapso en red de distribución,-30.774896,-57.997986,28/08/2017
Situación crítica por Colapso en red de distribución en Ushuaia,"Un grave colapso en red de distribución se registró en Ushuaia, Tierra del Fuego. El incidente generando preocupación entre autoridades provinciales. El intendente local se ha trasladado al lugar para supervisar las operaciones.",Colapso en red de distribución,-54.795967,-68.309937,08/07/2006
"Habitantes de Tandil afrontan Apagón general, Buenos Aires","Un grave apagón general se registró en Tandil, Buenos Aires. El incidente dejando a la población incomunicada por varias horas. Se ha iniciado una investigación para determinar las causas exactas del incidente.",Apagón general,-37.279001,-59.172573,22/05/2009
"Habitantes de Oberá afrontan Colapso de puente, Misiones","Un grave colapso de puente se registró en Oberá, Misiones. El incidente destruyendo viviendas y dejando a familias evacuadas. Se ha iniciado una investigación para determinar las causas exactas del incidente.",Colapso de puente,-27.474298,-55.12706,15/11/2002
"Detonación en fábrica impacta en Plottier, Neuquén","Un grave detonación en fábrica se registró en Plottier, Neuquén. El incidente dejando un rastro de destrucción importante. Las fuerzas de seguridad mantienen un perímetro para evitar incidentes adicionales.",Detonación en fábrica,-38.949395,-68.259356,19/01/2004
"Emergencia por Colapso de puente en Embarcación, Salta","Un grave colapso de puente se registró en Embarcación, Salta. El incidente con un saldo inicial de varias personas heridas. Se ha declarado estado de emergencia en la región para facilitar la asistencia.",Colapso de puente,-23.247863,-64.062246,26/04/2013
Fuego en centro comercial deja múltiples daños en Mar del Plata,"Grave fuego en centro comercial ocurrió en las inmediaciones de Mar del Plata, Buenos Aires. El incidente dejando a varios sectores sin comunicación. Equipos de rescate continúan buscando posibles víctimas.",Fuego en centro comercial,-38.012204,-57.547384,10/03/2001
"Impacto de Explosión en zona residencial en comunidad de Caleta Olivia, Santa Cruz","Autoridades confirmaron un explosión en zona residencial en Caleta Olivia, Santa Cruz. El incidente afectando gravemente la infraestructura local. El gobierno provincial ha enviado ayuda humanitaria a los damnificados.",Explosión en zona residencial,-46.451415,-67.562532,30/06/2009
Derrumbe en obra en construcción impacta en Villa Krause,"Un grave derrumbe en obra en construcción se registró en Villa Krause, San Juan. El incidente dejando un rastro de destrucción importante. El Ministerio de Desarrollo Social está brindando apoyo a los damnificados.",Derrumbe en obra en construcción,-31.524819,-68.51263,03/09/2024
"Evacuaciones por Apagón por tormenta en Humahuaca, Jujuy","Autoridades confirmaron un apagón por tormenta en Humahuaca, Jujuy. El incidente obligando a evacuar a residentes de la zona. El Ministerio de Desarrollo Social está brindando apoyo a los damnificados.",Apagón por tormenta,-23.164934,-65.30116,04/08/2014
Declaran emergencia tras Accidente con maquinaria industrial en Guaymallén,"Un grave accidente con maquinaria industrial se registró en Guaymallén, Mendoza. El incidente provocando pánico entre los residentes locales. Se han habilitado refugios temporales para las familias afectadas.",Accidente con maquinaria industrial,-32.880721,-68.771917,04/11/2003
"Equipos de emergencia atienden Explosión de origen desconocido en Chilecito, La Rioja","Un grave explosión de origen desconocido se registró en Chilecito, La Rioja. El incidente provocando cortes de energía y problemas en el suministro de agua. Se han habilitado refugios temporales para las familias afectadas.",Explosión de origen desconocido,-29.160665,-67.536726,12/08/2003
Colapso en red de distribución genera crisis en San Nicolás,"Grave colapso en red de distribución ocurrió en las inmediaciones de San Nicolás, Buenos Aires. El incidente causando pérdidas millonarias y afectando a cientos de personas. Se han habilitado refugios temporales para las familias afectadas.",Colapso en red de distribución,-33.376721,-60.249018,20/12/2017
Habitantes de Bell Ville afrontan Fallo en sistema de seguridad industrial,"Autoridades confirmaron un fallo en sistema de seguridad industrial en Bell Ville, Córdoba. El incidente generando preocupación entre autoridades provinciales. La población ha sido alertada para tomar precauciones adicionales.",Fallo en sistema de seguridad industrial,-32.591108,-62.677404,24/04/2012
Declaran emergencia tras Vuelco de vehículo de pasajeros en Río Cuarto,"Autoridades confirmaron un vuelco de vehículo de pasajeros en Río Cuarto, Córdoba. El incidente destruyendo viviendas y dejando a familias evacuadas. Los servicios médicos están atendiendo a los afectados en hospitales locales.",Vuelco de vehículo de pasajeros,-33.092003,-64.376343,06/06/2005
"Confirman Fuga en gasoducto de gran magnitud en Azul, Buenos Aires","Grave fuga en gasoducto ocurrió en las inmediaciones de Azul, Buenos Aires. El incidente causando pérdidas millonarias y afectando a cientos de personas. El municipio ha activado el protocolo de emergencias para esta situación.",Fuga en gasoducto,-36.77623,-59.867928,11/12/2015
"Devastador Descarrilamiento con derrame afecta a San Miguel de Tucumán, Tucumán","Autoridades confirmaron un descarrilamiento con derrame en San Miguel de Tucumán, Tucumán. El incidente dejando a varios sectores sin comunicación. Voluntarios de diversas organizaciones se han sumado a las tareas de auxilio.",Descarrilamiento con derrame,-26.828817,-65.196222,12/01/2006
"Devastador Accidente en refinería afecta a Oberá, Misiones","Un grave accidente en refinería se registró en Oberá, Misiones. El incidente afectando gravemente la infraestructura local. Las autoridades locales han desplegado equipos de emergencia para atender a los afectados.",Accidente en refinería,-27.459232,-55.095128,17/10/2012
"Se reporta Explosión de tanque de gas en zona de La Plata, Buenos Aires","Autoridades confirmaron un explosión de tanque de gas en La Plata, Buenos Aires. El incidente dejando a la población incomunicada por varias horas. Equipos de rescate continúan buscando posibles víctimas.",Explosión de tanque de gas,-34.958552,-57.94351,30/04/2013
"Derrumbe en obra en construcción causa estragos en Perico, Jujuy","Autoridades confirmaron un derrumbe en obra en construcción en Perico, Jujuy. El incidente dejando un rastro de destrucción importante. El Ministerio de Desarrollo Social está brindando apoyo a los damnificados.",Derrumbe en obra en construcción,-24.399232,-65.08793,04/01/2012
"Consecuencias graves tras Estallido de gasoducto en Cañada de Gómez, Santa Fe","Un grave estallido de gasoducto se registró en Cañada de Gómez, Santa Fe. El incidente dejando varios heridos y daños materiales. Equipos de rescate continúan buscando posibles víctimas.",Estallido de gasoducto,-32.802691,-61.371445,06/04/2004
Alerta por Explosión seguida de incendio en Las Lomitas,"Autoridades confirmaron un explosión seguida de incendio en Las Lomitas, Formosa. El incidente causando daños en cultivos y producción agrícola. Se ha establecido un centro de operaciones para coordinar las ayudas.",Explosión seguida de incendio,-24.754317,-60.596932,09/06/2024
"Preocupación por Colisión frontal en Santiago del Estero, Santiago del Estero","Grave colisión frontal ocurrió en las inmediaciones de Santiago del Estero, Santiago del Estero. El incidente causando daños en cultivos y producción agrícola. Las fuerzas de seguridad mantienen un perímetro para evitar incidentes adicionales.",Colisión frontal,-27.803328,-64.258308,26/08/2014
"Añatuya afectado por Explosión de origen desconocido, Santiago del Estero","Grave explosión de origen desconocido ocurrió en las inmediaciones de Añatuya, Santiago del Estero. El incidente causando daños en cultivos y producción agrícola. Especialistas evalúan los daños para iniciar las reparaciones necesarias.",Explosión de origen desconocido,-28.457613,-62.877851,03/07/2013
"Consecuencias graves tras Derrumbe de edificio en San Vicente, Misiones","Autoridades confirmaron un derrumbe de edificio en San Vicente, Misiones. El incidente bloqueando las principales vías de acceso. Se ha convocado al comité de crisis para coordinar las acciones de respuesta.",Derrumbe de edificio,-26.97749,-54.493246,08/05/2008
Corte prolongado de energía genera crisis en Presidencia Roque Sáenz Peña,"Autoridades confirmaron un corte prolongado de energía en Presidencia Roque Sáenz Peña, Chaco. El incidente bloqueando las principales vías de acceso. Autoridades nacionales se han puesto a disposición para brindar asistencia.",Corte prolongado de energía,-26.76877,-60.456497,11/04/2000
"Jesús María en alerta por Incendio en edificio residencial, Córdoba","Autoridades confirmaron un incendio en edificio residencial en Jesús María, Córdoba. El incidente generando caos en el transporte público y privado. El intendente local se ha trasladado al lugar para supervisar las operaciones.",Incendio en edificio residencial,-30.971519,-64.13334,21/03/2008
Consecuencias graves tras Fuego destructivo en zona urbana en Santa Rosa,"Autoridades confirmaron un fuego destructivo en zona urbana en Santa Rosa, La Pampa. El incidente afectando gravemente la infraestructura local. Se ha establecido un centro de operaciones para coordinar las ayudas.",Fuego destructivo en zona urbana,-36.578667,-64.269873,03/07/2003
"Evacuaciones por Estallido con víctimas en La Plata, Buenos Aires","Un grave estallido con víctimas se registró en La Plata, Buenos Aires. El incidente destruyendo viviendas y dejando a familias evacuadas. Se ha iniciado una investigación para determinar las causas exactas del incidente.",Estallido con víctimas,-34.962772,-57.975885,05/02/2012
"Evacuaciones por Fuego en centro comercial en Caleta Olivia, Santa Cruz","Autoridades confirmaron un fuego en centro comercial en Caleta Olivia, Santa Cruz. El incidente dejando varios heridos y daños materiales. El Ministerio de Desarrollo Social está brindando apoyo a los damnificados.",Fuego en centro comercial,-46.421824,-67.532469,13/10/2020
Confirman Accidente con maquinaria industrial de gran magnitud en Merlo,"Autoridades confirmaron un accidente con maquinaria industrial en Merlo, San Luis. El incidente provocando cortes de energía y problemas en el suministro de agua. Autoridades nacionales se han puesto a disposición para brindar asistencia.",Accidente con maquinaria industrial,-32.31228,-64.971398,12/09/2021
"Evacuaciones por Escape de gas en Trelew, Chubut","Un grave escape de gas se registró en Trelew, Chubut. El incidente provocando cortes de energía y problemas en el suministro de agua. Se han habilitado refugios temporales para las familias afectadas.",Escape de gas,-43.240194,-65.29051,31/01/2017
